"","State","CMS.Certification.Number..CCN..","Provider.Name","Address","City","Zip","Phone","Type.of.Ownership","Offers.Nursing.Care.Services","Offers.Physical.Therapy.Services","Offers.Occupational.Therapy.Services","Offers.Speech.Pathology.Services","Offers.Medical.Social.Services","Offers.Home.Health.Aide.Services","Date.Certified","Quality.of.Patient.Care.Star.Rating","How.often.the.home.health.team.began.their.patients..care.in.a.timely.manner","How.often.the.home.health.team.taught.patients..or.their.family.caregivers..about.their.drugs","How.often.the.home.health.team.checked.patients..risk.of.falling","How.often.the.home.health.team.checked.patients.for.depression","How.often.the.home.health.team.determined.whether.patients.received.a.flu.shot.for.the.currnet.flu.season","How.often.the.home.health.team.made.sure.that.their.patients.have.received.a.pneumococcal.vaccine..pneumonia.shot..","With.diabetes..how.often.the.home.health.team.got.doctor.s.orders..gave.foot.care..and.taught.patients.about.foot.care","How.often.patients.got.better.at.walking.or.moving.around","How.often.patients.got.better.at.getting.in.and.out.of.bed","How.often.patients.got.better.at.bathing","How.often.patients..breathing.improved","How.often.patients..wounds.improved.or.healed.after.an.operation","How.often.patients.got.better.at.taking.their.drugs.correctly.by.mouth","How.often.home.health.patients.had.to.be.admitted.to.the.hospital","How.often.patients.receiving.home.health.care.needed.urgent..unplanned.care.in.the.ER.without.being.admitted","Changes.in.Skin.Integrity.Post.Acute.Care..Pressure.Ulcer.Injury","How.often.physician.recommended.actions.to.address.medication.issues.were.completely.timely","DTC.Numerator","DTC.Denominator","DTC.Observed.Rate","DTC.Risk.Standardized.Rate","DTC.Risk.Standardized.Rate..Lower.Limit.","DTC.Risk.Standardized.Rate..Upper.Limit.","DTC.Performance.Categorization","PPR.Numerator","PPR.Denominator","PPR.Observed.Rate","PPR.Risk.Standardized.Rate","PPR.Risk.Standardized.Rate..Lower.Limit.","PPR.Risk.Standardized.Rate..Upper.Limit.","PPR.Performance.Categorization","How.much.Medicare.spends.on.an.episode.of.care.at.this.agency..compared.to.Medicare.spending.across.all.agencies.nationally","No..of.episodes.to.calc.how.much.Medicare.spends.per.episode.of.care.at.agency..compared.to.spending.at.all.agencies..national."
"11","AL","017027","DECATUR MORGAN HOMECARE","2708 HIGHWAY 31 SOUTH, SUITE B","DECATUR",35603,2563504182,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1979-07-25,"4.5",99.9,100,100,99.9,78.3,79.6,99.3,88.5,88.4,92.2,91.9,98,85.2,17,13.7,0.04,99.3,1693,"2112.0","80.16","84.38","82.63","86.32","Better Than National Rate","57.0","1369.0","4.16","3.94","3.15","4.86","Same As National Rate","1.02",3241
"12","AL","017028","CENTRAL ALABAMA HOME CARE","3000 RIVERCHASE GALLERIA, STE 775","HOOVER",35244,2057837900,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1979-06-01,"4.5",99.2,99.7,99.7,99.7,82.9,82.1,98.8,90.8,85,91.6,89.7,99.8,84.8,14.6,13.7,0.13,97.4,121,"153.0","79.08","82.00","75.65","87.74","Same As National Rate","4.0","108.0","3.70","3.59","2.48","5.13","Same As National Rate","0.95",277
"13","AL","017034","COMFORT CARE COASTAL HOME HEALTH","1390 NORTH MCKENZIE STREET","FOLEY",36535,2516214431,"Non - Profit Religious","Yes","Yes","Yes","Yes","Yes","Yes",1981-05-26,"4.5",99.9,99.8,100,99.8,86,84.6,99.8,85,85.7,91.7,87.1,93,85,14.1,12.4,0,99.4,1201,"1567.0","76.64","79.81","77.84","82.23","Same As National Rate","44.0","994.0","4.43","4.43","3.46","5.48","Same As National Rate","1.03",3029
"14","AL","017035","INFIRMARY HOMECARE","1142-A MONTLIMAR DRIVE","MOBILE",36609,2514503300,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1981-08-20,"4.5",100,100,100,99.8,81.5,85.1,99.5,85.8,89.9,87.2,90.1,96.3,81.4,17.7,7.4,0.08,99.7,978,"1228.0","79.64","81.76","79.57","84.02","Better Than National Rate","38.0","1187.0","3.20","3.73","2.90","4.70","Same As National Rate","1.00",1704
"15","AL","017037","BAPTIST HOME HEALTH","451 ST. LUKE'S DRIVE, SUITE 451","MONTGOMERY",36117,3343955100,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1981-10-01,"4.5",99.5,99.9,99.9,99.5,70.7,66.3,99.8,87.2,86.2,87.6,91.8,96.7,82,18.6,11.3,0,97.1,655,"872.0","75.11","85.79","82.97","88.82","Better Than National Rate","22.0","677.0","3.25","3.07","2.37","3.92","Same As National Rate","0.95",1426
"16","AL","017039","AMEDISYS HOME HEALTH OF HUNTSVILLE","250 CHATEAU DRIVE SW, SUITE 245","HUNTSVILLE",35801,2568851665,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1982-08-05,"4.5",98.1,99.8,99.9,71.8,83,79.7,95.9,92.9,90.1,94.3,92.3,93.2,81.7,18.5,14,0.09,94.7,1138,"1534.0","74.19","79.20","77.18","81.64","Same As National Rate","28.0","919.0","3.05","3.25","2.51","4.08","Same As National Rate","1.07",2858
"17","AL","017048","KINDRED AT HOME","1204 W MAGNOLIA AVENUE","GENEVA",36340,3346843919,"Proprietary","Yes","Yes","Yes","Yes","No","Yes",1983-12-08,"4.5",100,99.7,100,99,79,80.8,96.3,80.7,81.3,87.6,94.9,84.9,78.6,16.6,13.4,0.23,74.9,444,"552.0","80.43","81.83","78.57","85.17","Same As National Rate","7.0","295.0","2.37","3.35","2.33","4.52","Same As National Rate","1.06",1112
"18","AL","017050","SPECTRUM HOME HEALTH AGENCY","1310 PULASKI PIKE, UNIT A","HUNTSVILLE",35816,2565394457,"Non - Profit Private","Yes","Yes","Yes","Yes","Yes","Yes",1983-10-19,"4.5",93,97.6,100,98.6,56,53.8,100,90.1,100,85.9,93.7,NA,94.6,10.9,11.8,0.3,94.4,128,"151.0","84.77","85.35","78.61","90.37","Same As National Rate","3.0","72.0","4.17","3.47","2.46","4.82","Same As National Rate","0.90",243
"19","AL","017051","AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM","2204 LAKESHORE DRIVE, SUITE 200","HOMEWOOD",35209,2058680147,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1984-06-01,"3.5",99,99.8,99.8,91.6,87.2,89.7,96.8,76.8,80.1,81.6,88.3,86.7,66.1,14.1,13.1,0.16,97.6,1168,"1495.0","78.13","82.21","80.18","84.40","Better Than National Rate","31.0","1057.0","2.93","3.37","2.69","4.35","Same As National Rate","1.05",2284
"20","AL","017052","KINDRED AT HOME","1628 NORTH MCKENZIE STREET","FOLEY",36535,2519433002,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1984-09-20,"4.5",98,100,100,97.9,86.2,90.2,93.5,86.6,88,90.5,91.2,91,81.9,13.7,11.7,0.18,97,645,"774.0","83.33","85.16","82.43","87.69","Better Than National Rate","18.0","567.0","3.17","3.90","2.94","5.22","Same As National Rate","1.07",1268
"21","AL","017053","ENCOMPASS HEALTH HOME HEALTH","205 GRACELAND DRIVE, SUITE 3","DOTHAN",36305,3347935758,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1984-08-20,"4.5",99.9,99.8,100,99.9,79.8,80.4,99.4,86.8,83.2,88,83.6,94.3,85.4,15.5,14.4,0,98.9,2407,"3011.0","79.94","84.18","82.81","85.84","Better Than National Rate","41.0","1744.0","2.35","3.03","2.40","3.74","Same As National Rate","1.07",6067
"22","AL","017054","KINDRED AT HOME","2100 SOUTHBRIDGE PKWY, SUITE 480","BIRMINGHAM",35209,2058360777,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1984-09-04,"3.0",98.8,98.6,100,95.8,87.3,90.7,96.6,78.6,77.8,82,79.5,93.9,75.1,18.3,11.5,0.23,82.7,703,"927.0","75.84","82.32","79.28","85.40","Better Than National Rate","19.0","534.0","3.56","3.42","2.55","4.38","Same As National Rate","1.04",1393
"23","AL","017055","KINDRED AT HOME","1988 FAIRVIEW AVENUE","PRATTVILLE",36066,3343619806,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1984-06-08,"3.5",97.5,99.8,99.9,98.7,82.6,80,98.2,79.4,80.6,85.4,83.1,96.1,74.6,15.4,12.3,0.09,96.1,620,"829.0","74.79","82.67","79.74","85.67","Better Than National Rate","21.0","563.0","3.73","3.38","2.63","4.45","Same As National Rate","1.14",1440
"24","AL","017056","KINDRED AT HOME","11123 CHANTILLY PARKWAY, UNIT L","PIKE ROAD",36064,3342701151,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1984-12-03,"4.0",95.9,99,99.7,97.6,84.7,80.4,96,81.7,81.1,83.7,87.4,98.2,76.5,14.8,15.6,0,88.5,522,"705.0","74.04","81.28","78.27","84.61","Same As National Rate","21.0","444.0","4.73","3.79","2.82","4.81","Same As National Rate","1.11",1210
"25","AL","017058","KINDRED AT HOME","9037 INDEPENDENCE AVENUE, SUITE B","DAPHNE",36526,2516210882,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1984-10-25,"4.5",99.1,99.7,99.9,98.5,88.5,91,96.3,82.3,86.9,86.5,85.7,93.8,79.2,15.6,13.6,0.06,89.9,803,"1018.0","78.88","82.57","80.25","85.02","Better Than National Rate","12.0","659.0","1.82","3.09","2.34","4.08","Same As National Rate","1.10",1638
"26","AL","017066","SPRINGHILL HOME HEALTH AND HOSPICE","10 MOBILE STREET","MOBILE",36607,2514338172,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1986-02-24,"2.5",96.7,99,99.7,99,80.7,82.1,98.6,74.5,74.4,77.1,73.1,94.9,72.4,17.8,10.2,0,93.4,323,"459.0","70.37","74.91","70.59","78.92","Same As National Rate","9.0","345.0","2.61","3.33","2.49","4.51","Same As National Rate","1.10",1046
"27","AL","017069","AMEDISYS HOME HEALTH OF FOLEY","1809 N MCKENZIE STREET","FOLEY",36535,8007636382,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1986-07-01,"4.5",98.8,100,99.7,97.4,83.6,84.5,98.9,86.4,87.4,90.8,91.2,94.2,85.6,18.2,11.9,0,99.1,1040,"1387.0","74.98","80.04","77.83","82.52","Same As National Rate","29.0","1041.0","2.79","3.04","2.33","3.84","Same As National Rate","0.99",2776
"28","AL","017070","AMEDISYS HOME HEALTH OF CITRONELLE","19375 NORTH 3RD STREET, SUITE 101","CITRONELLE",36522,2518663261,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1986-07-01,"4.5",99,100,99.4,99.5,90.5,86.3,100,86.2,84.6,89.4,84.8,94.2,77.6,13.9,10.3,0.02,100,320,"429.0","74.59","78.76","74.68","82.99","Same As National Rate","6.0","275.0","2.18","3.27","2.37","4.35","Same As National Rate","1.05",1002
"29","AL","017071","KINDRED AT HOME","20 ALMON DRIVE SUITE C","MOULTON",35650,2057397800,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1986-08-21,"3.5",98.7,99.2,99.6,94.4,87.5,88.6,94.7,83.6,81.1,86.1,81.3,90.7,80.1,17.8,11.1,0.04,92,3426,"5026.0","68.17","73.40","72.14","74.98","Worse Than National Rate","74.0","2382.0","3.11","3.17","2.58","3.77","Same As National Rate","1.12",11211
"30","AL","017072","AMEDISYS HOME HEALTH OF GREENVILLE","525 GREENVILLE BYPASS","GREENVILLE",36037,3343822042,"Proprietary","Yes","Yes","Yes","No","No","Yes",1987-02-05,"4.0",98.3,100,100,81,79.4,81,98,89,87.5,85.7,87.8,95.6,81,17.4,13.4,0.25,97.1,269,"347.0","77.52","83.77","79.31","88.49","Better Than National Rate","4.0","221.0","1.81","3.14","2.28","4.48","Same As National Rate","0.99",678
"31","AL","017078","AMEDISYS HOME HEALTH OF REFORM","315 1ST STREET SOUTH","REFORM",35481,8002777445,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1990-06-12,"4.0",99.2,100,100,95.5,75.9,84.4,99,83.5,83.3,86.7,83.7,96.4,72.1,17.8,10,0,98.2,494,"639.0","77.31","84.25","81.06","87.66","Better Than National Rate","8.0","389.0","2.06","2.96","2.20","3.87","Same As National Rate","0.97",1283
"32","AL","017079","ENCOMPASS HEALTH HOME HEALTH","PO BOX 547","VERNON",35592,2056956736,"Proprietary","Yes","Yes","No","Yes","No","Yes",1990-12-21,"4.5",100,98.7,95.5,100,58.1,67.1,97.3,88.1,81.5,90.1,82.9,NA,80.1,13.2,8.4,0,98.7,127,"164.0","77.44","84.09","76.75","90.23","Same As National Rate","2.0","67.0","2.99","3.43","2.43","4.80","Same As National Rate","0.97",238
"33","AL","017080","DCH HOME HEALTH CARE AGENCY","1110 DR EDWARD HILLARD DRIVE","TUSCALOOSA",35401,2057597010,"Government - State/ County","Yes","Yes","Yes","Yes","Yes","Yes",1991-05-02,"3.0",97.6,99.1,99.7,99.6,76.2,80.2,97,80.7,78.5,80.7,83.4,98.2,66,17.6,7.6,0.02,95.5,660,"897.0","73.58","78.92","76.11","82.15","Same As National Rate","26.0","709.0","3.67","3.48","2.75","4.53","Same As National Rate","0.96",1099
"34","AL","017082","CV HOME HEALTH OF BIBB COUNTY","142 PIERSON AVENUE","CENTREVILLE",35042,2059263211,"Proprietary","Yes","Yes","No","No","No","Yes",1991-11-07,"1.5",98.8,99.5,100,100,94.5,78.3,99.7,39.1,47.8,41.2,28.7,46,28.2,18.6,18,0.64,87.6,26,"53.0","49.06","52.75","40.47","63.97","Worse Than National Rate","","18.0","Not Available","Not Available","Not Available","Not Available","","0.79",155
"35","AL","017084","KINDRED AT HOME","200 CENTRAL PARK PLACE","SELMA",36701,3348726637,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1991-11-21,"4.0",98.9,99.2,99.3,98.7,96,93.2,97.6,83.4,78.8,84.1,89.2,76.5,81.2,18.7,14,0,98.2,417,"557.0","74.87","85.51","81.73","89.44","Better Than National Rate","18.0","350.0","5.14","3.73","2.82","5.03","Same As National Rate","1.02",843
"36","AL","017085","COOSA VALLEY HOMECARE","209 WEST SPRING STREET, SUIT 305","SYLACAUGA",35150,2562080087,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1991-12-05,"5.0",100,100,100,100,63.8,67.5,100,89.1,86.4,87,90.8,94.7,79.1,14.7,11.2,0.09,97.7,397,"464.0","85.56","88.45","84.80","91.49","Better Than National Rate","6.0","339.0","1.77","3.17","2.29","4.42","Same As National Rate","0.97",756
"37","AL","017086","ALABAMA HOMECARE","15 CLAIBORNE STREET, SUITE C","CAMDEN",36726,3346829050,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1992-01-09,"5.0",100,100,100,98,61.6,46.1,99.6,90.4,84.6,91.5,91.7,NA,83.7,15.8,16.5,0.12,99.3,337,"407.0","82.80","87.14","83.92","90.74","Better Than National Rate","2.0","141.0","1.42","3.18","2.29","4.56","Same As National Rate","0.93",826
"38","AL","017088","FAYETTE MEDICAL CENTER HOMECARE","1653 TEMPLE AVENUE","FAYETTE",35555,2059325961,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1991-12-18,"4.5",100,100,100,100,79.4,75.4,100,88.6,92.6,90.2,86.7,97.4,85.8,18.7,12.9,0,99,404,"528.0","76.52","83.45","79.66","87.54","Better Than National Rate","12.0","336.0","3.57","3.37","2.40","4.45","Same As National Rate","1.08",1049
"39","AL","017089","CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES","1912 AL HIGHWAY 157","CULLMAN",35058,2567372831,"Non - Profit Other","Yes","Yes","Yes","No","Yes","Yes",1992-06-11,"3.5",99.2,92.8,99.8,98.5,75.1,85,100,78.4,83.3,82.1,80.1,86.2,71.1,17.6,9.5,0,88.2,358,"422.0","84.83","86.82","83.52","89.90","Better Than National Rate","14.0","369.0","3.79","3.71","2.66","4.85","Same As National Rate","1.01",567
"40","AL","017090","KINDRED AT HOME","12731 HIGHWAY 17, SUITE 3","GILBERTOWN",36908,2518432808,"Proprietary","Yes","Yes","No","No","No","Yes",1992-06-10,"3.5",100,100,100,100,71.9,78.6,99.4,78,78.7,79.9,80.3,84.2,73,14.6,18.8,0.14,84.8,623,"786.0","79.26","83.97","81.09","87.02","Better Than National Rate","11.0","402.0","2.74","3.46","2.58","4.64","Same As National Rate","1.00",1495
"41","AL","017091","HALE COUNTY HOSPITAL HOME HEALTH","506 GREENE STREET","GREENSBORO",36744,3346243066,"Government - State/ County","Yes","Yes","Yes","Yes","No","Yes",1992-06-18,"4.5",99.6,100,99.1,100,39.8,35.2,97,95.5,80.7,89.7,100,NA,98.1,20,11.4,0,98.3,205,"268.0","76.49","83.27","77.80","88.86","Same As National Rate","5.0","218.0","2.29","3.12","2.21","4.28","Same As National Rate","1.00",616
"42","AL","017092","ENCOMPASS HEALTH HOME HEALTH","194 WILLIAM E HILL DRIVE","CARROLLTON",35447,2053678111,"Non - Profit Other","Yes","Yes","No","Yes","No","Yes",1992-07-01,"5.0",99.7,100,100,99.7,84.3,85.8,100,87.2,89,95.1,88.1,NA,92,15,16.6,0,99.4,232,"310.0","74.84","80.00","75.03","85.24","Same As National Rate","3.0","180.0","1.67","3.15","2.23","4.32","Same As National Rate","0.94",618
"43","AL","017093","DEKALB REGIONAL HOME HEALTH","1706 GLENN BOULEVARD, SUITE 3","FORT PAYNE",35968,2565242411,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1992-07-30,"4.5",97.9,99.2,100,98.4,73.6,80.7,99.5,89.5,86.3,89.9,94.3,99.8,88.6,16.2,13.8,0,95.6,170,"216.0","78.70","82.03","75.91","87.33","Same As National Rate","5.0","136.0","3.68","3.46","2.52","4.71","Same As National Rate","0.98",513
"44","AL","017094","CHEROKEE HOME HEALTH","104C NORTHWOOD DRIVE, STE A-1","CENTRE",35960,2569271144,"Proprietary","Yes","Yes","Yes","No","Yes","Yes",1992-08-13,"5.0",100,100,100,99.7,89.8,88.4,100,95.3,91.5,95.8,90.1,96,91.6,17,11.8,0,91.9,315,"465.0","67.74","72.78","68.15","77.46","Worse Than National Rate","2.0","246.0","0.81","2.93","2.17","4.07","Same As National Rate","0.93",1314
"45","AL","017095","ATHENS-LIMESTONE HOMECARE","725 WEST MARKET STREET, SUITE A","ATHENS",35611,2562339533,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1992-08-12,"4.5",99.8,99.9,100,99.9,88.6,90.2,99.8,86.5,90.4,88.2,86.7,95.5,85.4,15.5,14.2,0,99.5,798,"1019.0","78.31","84.61","82.19","87.18","Better Than National Rate","30.0","669.0","4.48","3.98","3.03","5.08","Same As National Rate","1.05",1563
"46","AL","017096","TROY REGIONAL MEDICAL CENTER HOME HEALTH","798 HIGHWAY 231 SOUTH","TROY",36081,3344034520,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1992-10-27,"4.5",99.9,99.9,100,100,72.8,76,99.7,88.5,86.4,85.3,86,96.5,85.8,19.1,17.7,0.06,99.7,394,"502.0","78.49","80.90","77.29","84.33","Same As National Rate","8.0","242.0","3.31","3.43","2.54","4.64","Same As National Rate","0.93",999
"47","AL","017097","CLAY COUNTY HOSPITAL HOME CARE, LLC","83825 HIGHWAY 9","ASHLAND",36251,2563540077,"Proprietary","Yes","Yes","Yes","No","Yes","Yes",1992-10-27,"4.5",100,100,100,100,65.9,67.5,100,85.5,85.8,88.8,88,98.5,82.4,14.1,11.1,0,99.2,483,"615.0","78.54","82.43","79.20","85.73","Better Than National Rate","7.0","286.0","2.45","3.31","2.39","4.49","Same As National Rate","0.92",1124
"48","AL","017100","MARION REGIONAL HOMECARE","234 1ST AVENUE SW, SUITE 2","HAMILTON",35570,2059210391,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1992-10-29,"5.0",100,100,100,100,78.6,82.2,100,88.6,94.1,91.2,88.4,NA,86.1,15.8,13.9,0.01,100,261,"337.0","77.45","81.58","76.60","86.12","Same As National Rate","7.0","199.0","3.52","3.48","2.53","4.82","Same As National Rate","1.03",773
"49","AL","017103","BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH","105 HIGHWAY 80 EAST","DEMOPOLIS",36732,3342890701,"Government - Combination Government & Voluntary","Yes","Yes","Yes","Yes","No","Yes",1992-12-23,"2.5",83.5,97.8,98.4,97.1,54.6,47.7,94.1,70.9,67,71.3,78,NA,64.7,15.8,19.6,0.06,95.6,58,"145.0","40.00","42.83","36.32","50.90","Worse Than National Rate","4.0","100.0","4.00","3.61","2.65","5.00","Same As National Rate","0.71",656
"50","AL","017104","HIGHLANDS HOME HEALTH","901 HEROES DRIVE","SCOTTSBORO",35768,2562594840,"Government - State/ County","Yes","Yes","Yes","Yes","No","Yes",1993-01-13,"3.0",96.2,100,100,99.4,68.3,81.2,99.3,72.3,79.1,69.6,60.7,92.6,66.9,12.5,16,0.25,98.4,205,"300.0","68.33","74.10","68.40","79.48","Same As National Rate","6.0","187.0","3.21","3.54","2.48","4.84","Same As National Rate","0.98",773
